Parameter Name;Symbol;Time Step Type;Doc String;Unit Category
``demand``;:math:`D_{c,n,t,y}`;``set_time_steps_operation``;Parameter which specifies the carrier demand;{"energy_quantity": 1, "time": -1}
``availability_import``;:math:`\underline{a}_{c,n,t,y}`;``set_time_steps_operation``;Parameter which specifies the maximum energy that can be imported from outside the system boundaries;{"energy_quantity": 1, "time": -1}
``availability_export``;:math:`\overline{a}_{c,n,t,y}`;``set_time_steps_operation``;Parameter which specifies the maximum energy that can be exported to outside the system boundaries;{"energy_quantity": 1, "time": -1}
``availability_import_yearly``;:math:`\underline{a}^{Y}_{c,n,t,y}`;``set_time_steps_yearly``;Parameter which specifies the maximum energy that can be imported from outside the system boundaries for the entire year;{"energy_quantity": 1}
``availability_export_yearly``;:math:`\overline{a}^{Y}_{c,n,t,y}`;``set_time_steps_yearly``;Parameter which specifies the maximum energy that can be exported to outside the system boundaries for the entire year``;{"energy_quantity": 1}
``price_import``;:math:`u_{c,n,t,y}`;``set_time_steps_operation``;Parameter which specifies the import carrier price;{"money": 1, "energy_quantity": -1}
``price_export``;:math:`v_{c,n,t,y}`;``set_time_steps_operation``;Parameter which specifies the export carrier price;{"money": 1, "energy_quantity": -1}
``price_shed_demand``;:math:`\nu_c`;``temporal immutable``;Parameter which specifies the price to shed demand;{"money": 1, "energy_quantity": -1}
``carbon_intensity_carrier_import``;:math:`\underline{\epsilon_c}`;``set_time_steps_yearly``;Parameter which specifies the carrier carbon intensity for carrier import flows;{"emissions": 1, "energy_quantity": -1}
``carbon_intensity_carrier_export``;:math:`\overline{\epsilon_c}`;``set_time_steps_yearly``;Parameter which specifies the carrier carbon intensity  for carrier export flows;{"emissions": 1, "energy_quantity": -1}

